timestamp,RV
2/23/2022 16:00,0.0120
2/24/2022 16:00,0.0121
2/25/2022 16:00,0.0115
2/28/2022 16:00,0.0116
3/1/2022 16:00,0.0119
3/2/2022 16:00,0.0120
3/3/2022 16:00,0.0120
3/4/2022 16:00,0.0120
3/7/2022 16:00,0.0120
3/8/2022 16:00,0.0121
3/9/2022 16:00,0.0121
3/10/2022 16:00,0.0121
3/11/2022 16:00,0.0121
3/14/2022 16:00,0.0121
3/15/2022 16:00,0.0121
3/16/2022 16:00,0.0121
3/17/2022 16:00,0.0121
3/18/2022 16:00,0.0120
3/21/2022 16:00,0.0120
3/22/2022 16:00,0.0120
3/23/2022 16:00,0.0120
3/24/2022 16:00,0.0120
3/25/2022 16:00,0.0120
3/28/2022 16:00,0.0120
3/29/2022 16:00,0.0120
3/30/2022 16:00,0.0121
3/31/2022 16:00,0.0121
4/1/2022 16:00,0.0121
4/4/2022 16:00,0.0121
4/5/2022 16:00,0.0121
4/6/2022 16:00,0.0121
4/7/2022 16:00,0.0121
4/8/2022 16:00,0.0121
4/11/2022 16:00,0.0121
4/12/2022 16:00,0.0121
4/13/2022 16:00,0.0121
4/14/2022 16:00,0.0121
4/15/2022 16:00,0.0121
4/18/2022 16:00,0.0121
4/19/2022 16:00,0.0121
4/20/2022 16:00,0.0121
4/21/2022 16:00,0.0121
4/22/2022 16:00,0.0121
4/25/2022 16:00,0.0121
4/26/2022 16:00,0.0121
4/27/2022 16:00,0.0121
4/28/2022 16:00,0.0121
4/29/2022 16:00,0.0121
5/2/2022 16:00,0.0121
5/3/2022 16:00,0.0121
5/4/2022 16:00,0.0121
5/5/2022 16:00,0.0121
5/6/2022 16:00,0.0121
5/9/2022 16:00,0.0121
5/10/2022 16:00,0.0121
5/11/2022 16:00,0.0121
5/12/2022 16:00,0.0121
5/13/2022 16:00,0.0121
5/16/2022 16:00,0.0121
5/17/2022 16:00,0.0121
5/18/2022 16:00,0.0121
5/19/2022 16:00,0.0121
5/20/2022 16:00,0.0121
5/23/2022 16:00,0.0121
5/24/2022 16:00,0.0121
5/25/2022 16:00,0.0121
5/26/2022 16:00,0.0121
5/27/2022 16:00,0.0121
5/30/2022 16:00,0.0121
5/31/2022 16:00,0.0121
6/1/2022 16:00,0.0121
